品名,CAS号
4-溴甲苯,106-38-7
4-溴苯胺,106-40-1
4-溴苯酚,106-41-2
"1,4-二甲苯",106-42-3
4-氯甲苯,106-43-4
4-甲酚,106-44-5
4-甲苯硫酚,106-45-6
4-氯苯胺,106-47-8
4-氯苯酚,106-48-9
4-甲基苯胺,106-49-0
"1,4-苯二胺",106-50-3
苯醌,106-51-4
对氯苯硫醇,106-54-7
"1,4-二甲基哌嗪",106-58-1
丙烯酸异丁酯[稳定的],106-63-8
3-辛酮,106-68-3
正己酸甲酯,106-70-7
"1,2-环氧丁烷",106-88-7
"1-氯-2,3-环氧丙烷",106-89-8
烯丙基缩水甘油醚,106-92-3
"1,2-二溴乙烷",106-93-4
1-溴丙烷,106-94-5
3-溴-1-丙烯,106-95-6
3-溴丙炔,106-96-7
正丁烷,106-97-8
1-丁烯,106-98-9
"1,3-丁二烯[稳定的]",106-99-0
"4,4-二甲基庚烷",1068-19-5
"2,5-二甲基-2,5-二(叔丁基过氧)-3-己烷[52%＜含量≤86%，含A型稀释剂≥14%]",1068-27-5
"2,5-二甲基-2,5-双-(过氧化叔丁基)-3-己炔[86%＜含量≤100%]",1068-27-5
1-丁炔[稳定的],107-00-6
2-丁烯,107-01-7
丙烯醛[稳定的],107-02-8
正丙硫醇,107-03-9
1-氯-2-溴乙烷,107-04-0
3-氯丙烯,107-05-1
"1,2-二氯乙烷",107-06-2
1-碘丙烷,107-08-4
1-氨基丙烷,107-10-8
2-丙烯腈[稳定的],107-13-1
氯乙腈,107-14-2
"1,2-乙二胺",107-15-3
一氯乙醛,107-20-0
甲基乙烯醚[稳定的],107-25-5
氯化乙基汞,107-27-7
乙醛肟,107-29-9
甲酸甲酯,107-31-3
丙基胂酸,107-34-6
烯丙基三氯硅烷[稳定的],107-37-9
"2,4,4-三甲基-1-戊烯",107-39-1
"2,4,4-三甲基-2-戊烯",107-40-4
叔辛胺,107-45-9
六甲基二硅醚,107-46-0
氯乙酸叔丁酯,107-59-5
4-甲氧基-4-甲基-2-戊酮,107-70-0
"过乙酸叔丁酯[32%＜含量≤52%,含A型稀释剂≥48%]",107-71-1
戊基三氯硅烷,107-72-2
2-溴戊烷,107-81-3
1-溴-3-甲基丁烷,107-82-4
2-甲基戊烷,107-83-5
1-氯-3-甲基丁烷,107-84-6
异戊胺,107-85-7
2-戊酮,107-87-9
3-羟基丁醛,107-89-1
正丁酸,107-92-6
3-氯丙酸,107-94-8
"2,2-二甲基庚烷",1071-26-7
1-甲基-3-丙基苯,1074-43-7
1-甲基-4-丙基苯,1074-55-1
"N,N-二甲基乙醇胺",108-01-0
1-硝基丙烷,108-03-2
乙酸乙烯酯[稳定的],108-05-4
"2,4-二甲基戊烷",108-08-7
"1,3-二甲基丁胺",108-09-8
4-甲基-2-戊酮,108-10-1
4-甲基-2-戊醇,108-11-2
异戊酰氯,108-12-3
"N,N-二甲基异丙醇胺",108-16-7
二异丙胺,108-18-9
异丙醚,108-20-3
乙酸异丙酯,108-21-4
乙酸异丙烯酯,108-22-5
氯甲酸异丙酯,108-23-6
乙酸酐,108-24-7
马来酸酐,108-31-6
3-甲基吡唑-5-二乙基磷酸酯,108-34-9
"1,3-二甲苯",108-38-3
3-甲酚,108-39-4
3-甲苯硫酚,108-40-7
3-氯甲苯,108-41-8
3-氯苯胺,108-42-9
3-氯苯酚,108-43-0
3-甲基苯胺,108-44-1
"1,3-苯二胺",108-45-2
"1,3-苯二酚",108-46-3
"2,4-二甲基吡啶",108-47-4
"2,6-二甲基吡啶",108-48-5
二氯异丙基醚,108-60-1
异戊酸乙酯,108-64-5
"1,3,5-三甲基苯",108-67-8
