品名,CAS号
"(1R,4S,5R,8S)-1,2,3,4,10,10-六氯-1,4,4a,5,6,7,8,8a-八氢-6,7-环氧-1,4；5,8-二亚甲基萘[含量＞5%]",72-20-8
氰化氢,74-90-8
硫酸铊,7446-18-6
氯化汞,7487-94-7
碳酰氯,75-44-5
丙烯亚胺,75-55-8
丙酮氰醇,75-86-5
三氯硝基甲烷,76-06-2
五氯化锑,7647-18-9
六氯环戊二烯,77-47-4
乙烯砜,77-77-0
氟,7782-41-4
氯,7782-50-5
亚硒酸氢钠,7782-82-3
二氟化氧,7783-41-7
砷化氢,7784-42-1
O-O-二甲基-O-(2-甲氧甲酰基-1-甲基)乙烯基磷酸酯[含量＞5%],7786-34-7
四乙基铅,78-00-2
"S-[2-(二乙氨基)乙基]-O,O-二乙基硫赶磷酸酯",78-53-5
3-丁烯-2-酮,78-94-4
2-羟基丙腈,78-97-7
磷化氢,7803-51-2
氯甲酸甲酯,79-22-1
"2,6-二噻-1,3,5,7-四氮三环-[3,3,1,1,3,7]癸烷-2,2,6,6-四氧化物",80-12-6
"O,O-二乙基-O-(2-乙硫基乙基)硫代磷酸酯与O,O-二乙基-S-(2-乙硫基乙基)硫代磷酸酯的混合物[含量＞3%]",8065-48-3
"1,3-二氟丙-2-醇(Ⅰ)与1-氯-3-氟丙-2-醇(Ⅱ)的混合物",8065-71-2
氯代膦酸二乙酯,814-49-3
"2-(二苯基乙酰基)-2,3-二氢-1,3-茚二酮",82-66-6
五氯苯酚,87-86-5
"N,N-二甲基氨基乙腈",926-64-7
O-乙基-S-苯基乙基二硫代膦酸酯[含量＞6%],944-22-9
"O,O-二乙基-N-(1,3-二硫戊环-2-亚基)磷酰胺[含量＞15%]",947-02-4
"O,O-二乙基-N-(4-甲基-1,3-二硫戊环-2-亚基)磷酰胺[含量＞5%]",950-10-7
"O,O-二甲基-对硝基苯基磷酸酯",950-35-6
2-硝基-4-甲氧基苯胺,96-96-8
